amp,count
-1.0,0
-0.99,0
-0.98,0
-0.97,0
-0.96,0
-0.95,0
-0.94,0
-0.9299999999999999,0
-0.92,0
-0.91,0
-0.9,0
-0.89,0
-0.88,0
-0.87,0
-0.86,0
-0.85,0
-0.84,0
-0.83,0
-0.8200000000000001,0
-0.81,6
-0.8,4
-0.79,8
-0.78,0
-0.77,4
-0.76,0
-0.75,2
-0.74,4
-0.73,6
-0.72,14
-0.71,6
-0.7,20
-0.69,18
-0.6799999999999999,18
-0.6699999999999999,50
-0.6599999999999999,34
-0.65,62
-0.64,74
-0.63,102
-0.62,104
-0.61,150
-0.6,156
-0.5900000000000001,152
-0.5800000000000001,220
-0.5700000000000001,266
-0.56,366
-0.55,408
-0.54,472
-0.53,607
-0.52,750
-0.51,759
-0.5,1058
-0.49,1251
-0.48,1532
-0.47,1790
-0.45999999999999996,2067
-0.44999999999999996,2534
-0.43999999999999995,3012
-0.43000000000000005,3561
-0.42000000000000004,4091
-0.41000000000000003,5209
-0.4,6205
-0.39,7506
-0.38,8791
-0.37,10145
-0.36,11912
-0.35,14169
-0.33999999999999997,16621
-0.32999999999999996,19444
-0.31999999999999995,22557
-0.31000000000000005,26345
-0.30000000000000004,31326
-0.29000000000000004,36699
-0.28,42079
-0.27,49821
-0.26,57728
-0.25,66619
-0.24,77158
-0.22999999999999998,89939
-0.21999999999999997,104637
-0.20999999999999996,121485
-0.19999999999999996,138833
-0.18999999999999995,159129
-0.18000000000000005,184051
-0.17000000000000004,213067
-0.16000000000000003,245297
-0.15000000000000002,282525
-0.14,327011
-0.13,372249
-0.12,427298
-0.10999999999999999,489497
-0.09999999999999998,565184
-0.08999999999999997,656035
-0.07999999999999996,764681
-0.06999999999999995,887776
-0.06000000000000005,1057293
-0.050000000000000044,1268827
-0.040000000000000036,1576198
-0.030000000000000027,2011692
-0.020000000000000018,2745775
-0.010000000000000009,4531578
0.0,18696320
0.010000000000000009,4215766
0.020000000000000018,2487949
0.030000000000000027,1840701
0.040000000000000036,1459072
0.050000000000000044,1180771
0.06000000000000005,974686
0.07000000000000006,830614
0.08000000000000007,705724
0.09000000000000008,611891
0.10000000000000009,536493
0.1100000000000001,470530
0.1200000000000001,414216
0.1299999999999999,365624
0.1399999999999999,320535
0.1499999999999999,281838
0.15999999999999992,245929
0.16999999999999993,215060
0.17999999999999994,188388
0.18999999999999995,160759
0.19999999999999996,140950
0.20999999999999996,122745
0.21999999999999997,106740
0.22999999999999998,93535
0.24,82139
0.25,71191
0.26,62330
0.27,54289
0.28,47908
0.29000000000000004,41652
0.30000000000000004,36315
0.31000000000000005,31478
0.32000000000000006,27692
0.33000000000000007,25149
0.3400000000000001,21737
0.3500000000000001,18945
0.3600000000000001,16915
0.3700000000000001,14383
0.3799999999999999,12614
0.3899999999999999,11338
0.3999999999999999,9668
0.4099999999999999,8545
0.41999999999999993,7645
0.42999999999999994,6869
0.43999999999999995,5766
0.44999999999999996,5071
0.45999999999999996,4517
0.47,4068
0.48,3712
0.49,3151
0.5,2910
0.51,2467
0.52,2057
0.53,1840
0.54,1585
0.55,1409
0.56,1228
0.5700000000000001,1095
0.5800000000000001,891
0.5900000000000001,808
0.6000000000000001,736
0.6100000000000001,616
0.6200000000000001,476
0.6299999999999999,474
0.6399999999999999,342
0.6499999999999999,300
0.6599999999999999,254
0.6699999999999999,198
0.6799999999999999,204
0.69,148
0.7,170
0.71,102
0.72,90
0.73,90
0.74,66
0.75,58
0.76,52
0.77,50
0.78,38
0.79,26
0.8,10
0.81,10
0.8200000000000001,22
0.8300000000000001,16
0.8400000000000001,18
0.8500000000000001,20
0.8600000000000001,10
0.8700000000000001,18
0.8799999999999999,6
0.8899999999999999,12
0.8999999999999999,4
0.9099999999999999,6
0.9199999999999999,2
0.9299999999999999,2
0.94,8
0.95,2
0.96,4
0.97,2
0.98,6
0.99,6
1.0,2
